"","team_game_log_id","created_at","updated_at","home_team_outcome","home_team_score","away_team_outcome","away_team_score","team_outcome","team_score","opponent_outcome","opponent_score","is_home_team","is_away_team","extra_point_kicks_attempted","extra_point_kicks_blocked","extra_point_kicks_succeeded","extra_point_passes_attempted","extra_point_passes_succeeded","extra_point_rushes_attempted","extra_point_rushes_succeeded","field_goals_attempted","field_goals_blocked","field_goals_succeeded","field_goals_succeeded_longest_yards","fourth_downs_attempted","fourth_downs_succeeded","fumble_touchdowns","fumbles","fumbles_lost","fumbles_recovered_defense","fumbles_recovered_offense","games_lost","games_played","games_tied","games_won","goal_to_go_attempted","goal_to_go_succeeded","interception_return_longest_yards","interception_return_yards","interception_returns","interception_touchdowns","kickoff_return_longest_yards","kickoff_return_touchdowns","kickoff_return_yards","kickoff_returns","kickoff_touchbacks","kickoffs","kickoffs_in_end_zone","other_touchdowns","passer_rating","passing_first_downs","passing_gross_yards","passing_longest_yards","passing_net_yards","passing_plays_attempted","passing_plays_completed","passing_plays_intercepted","passing_plays_sacked","passing_sacked_yards","passing_touchdowns","penalties","penalty_first_downs","penalty_yards","points","points_overtime","points_quarter_1","points_quarter_2","points_quarter_3","points_quarter_4","points_overtime_1","points_overtime_2","points_overtime_3","points_overtime_4","points_overtime_5","points_overtime_6","points_overtime_7","points_overtime_8","points_overtime_9","points_overtime_10","punt_blocks","punt_return_faircatches","punt_return_longest_yards","punt_return_touchdowns","punt_return_yards","punt_returns","punting_gross_yards","punting_inside_twenty","punting_longest_gross_yards","punting_longest_net_yards","punting_longest_yards","punting_net_yards","punting_net_yards_avg","punting_plays","punting_plays_blocked","receiving_longest_yards","red_zone_scores_attempted","red_zone_scores_succeeded","rushing_first_downs","rushing_gross_yards","rushing_longest_yards","rushing_losses","rushing_lost_yards","rushing_net_yards","rushing_plays","rushing_touchdowns","safeties","third_downs_attempted","third_downs_succeeded","time_of_possession_secs","time_of_possession_secs_overtime","time_of_possession_secs_quarter_1","time_of_possession_secs_quarter_2","time_of_possession_secs_quarter_3","time_of_possession_secs_quarter_4","total_first_downs","total_touchdowns","game_id","opponent_id","team_id"
"1","53d02af7-f9d3-490d-a844-eb2c09b2da03","2017-09-25T20:32:52-04:00","2017-09-26T22:21:40-04:00","loss",17,"win",28,"loss",17,"win",28,TRUE,FALSE,2,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,40,2,3,4,3,0,0,15,325,0,283,48,29,0,6,42,2,6,5,50,17,0,7,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,38,6,0,0,4,1,2,49,0,0,0,0,21,0,0,18,8,2175,0,0,0,0,0,22,2,"e78b03dd-aae6-485f-98bb-ebe879724ec8","d61f132b-29f6-4140-847b-efb50ea9ccba","77c57737-b688-4bbf-a127-7b7f0ef8bcdd"
"2","b355d391-1e82-4d94-b907-374fff336121","2017-09-17T13:03:55-04:00","2017-09-17T16:33:55-04:00","loss",13,"win",16,"win",16,"loss",13,FALSE,TRUE,1,0,1,0,0,0,0,4,0,3,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,15,1,0,0,0,35,2,2,5,5,0,0,14,332,0,306,36,19,1,4,26,1,6,1,41,16,3,0,3,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,41.8,5,0,0,3,0,2,83,0,0,0,0,25,0,0,15,6,1729,0,0,0,0,0,17,1,"f68068f2-890d-4245-b4df-5f36cf1e4941","557d1013-6b50-4998-885b-d121af071867","77c57737-b688-4bbf-a127-7b7f0ef8bcdd"
"3","c9c0c873-1d8f-4585-976e-b9dc9b4736ea","2017-09-10T13:03:05-04:00","2017-09-10T16:47:59-04:00","win",35,"loss",23,"loss",23,"win",35,FALSE,TRUE,2,0,2,1,0,0,0,2,0,1,0,1,1,0,2,1,0,0,1,1,0,0,3,2,0,82,1,1,0,0,46,2,1,5,4,0,0,15,269,0,264,48,27,3,1,5,1,6,5,55,23,0,10,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,4,0,0,4,2,4,45,0,0,0,0,18,1,0,15,6,1600,0,0,0,0,0,24,3,"428b5f53-c0c7-4199-a673-d9fc9c91189d","82fedbfa-8c2c-46cc-b02f-ea16abf5ffc9","77c57737-b688-4bbf-a127-7b7f0ef8bcdd"
"4","69c56a88-207a-4a42-a6fe-5cb666df3b63","2017-09-17T20:33:53-04:00","2017-09-18T00:16:21-04:00","win",34,"loss",23,"win",34,"loss",23,TRUE,FALSE,4,0,4,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,1,3,3,0,0,1,0,0,0,31,2,7,7,7,0,0,12,252,0,223,28,19,0,3,29,1,6,0,34,34,0,7,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41.25,4,0,0,3,3,7,141,0,0,0,0,27,2,0,11,5,1717,0,0,0,0,0,19,4,"b3a480a5-acc9-4161-a8c0-e50ecba08106","ade9a19b-3dfb-4436-aefd-e54f1c0d1a20","c1618ca6-3dad-485d-b237-ad34f8d0bf83"
"5","8dfa63ad-5fb8-4d89-9ab1-5132009bc1b9","2017-09-10T13:03:04-04:00","2017-09-10T16:13:03-04:00","loss",17,"win",23,"win",23,"loss",17,FALSE,TRUE,2,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,11,1,3,6,4,0,0,12,321,0,308,30,21,0,2,13,1,8,2,73,23,0,3,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,44.333,3,0,0,3,1,4,64,0,0,0,0,23,1,0,11,5,1834,0,0,0,0,0,18,2,"e2a1418c-c5d0-41ad-ba63-360abf60458b","009ff336-845b-411b-8ee5-9b3089e99398","c1618ca6-3dad-485d-b237-ad34f8d0bf83"
"6","9856f402-d6a3-49b0-9958-d1f2f4c3cf00","2017-09-24T13:00:41-04:00","2017-09-24T20:00:41-04:00","loss",26,"win",30,"win",30,"loss",26,FALSE,TRUE,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,54,2,6,7,7,0,0,15,294,0,277,35,24,3,2,17,2,8,2,68,30,0,7,13,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,40.5,2,0,0,4,2,9,151,0,0,0,0,28,1,0,9,4,1955,0,0,0,0,0,26,3,"4cfb5be6-0b71-4ea3-b5ff-8fa38896cb4b","82fedbfa-8c2c-46cc-b02f-ea16abf5ffc9","c1618ca6-3dad-485d-b237-ad34f8d0bf83"
"7","3ed9c16d-378c-4fab-9b62-6a8f7abe1ed1","2017-09-10T13:03:07-04:00","2017-09-10T16:23:00-04:00","loss",0,"win",20,"win",20,"loss",0,FALSE,TRUE,2,0,2,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,69,4,0,0,0,0,0,4,5,4,0,0,5,121,0,111,17,9,1,1,10,1,11,4,85,20,0,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,39.333,6,0,0,3,1,8,157,0,0,0,0,42,1,0,14,6,2040,0,0,0,0,0,17,2,"0ef099cd-67f6-48e5-b69a-3eb5da3a2b79","6bb48096-ca08-40e3-8dd2-2d93d96e346e","15cdbc22-7b1e-4012-a731-987ca52e3c05"
"8","40230730-753e-4e72-bd71-3b935335b4fd","2017-10-01T13:02:06-04:00","2017-10-01T20:00:10-04:00","undecided",3,"undecided",19,"undecided",3,"undecided",19,TRUE,FALSE,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,96,4,0,2,1,0,0,1,49,0,35,15,9,0,2,14,0,3,0,18,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,1,0,3,28,0,0,0,0,9,0,0,6,1,704,0,0,0,0,0,4,0,"452a029a-bfee-4f2e-9ceb-96e55588f6cd","e5796fc5-4c5e-486d-a76d-5879fd2f5117","15cdbc22-7b1e-4012-a731-987ca52e3c05"
"9","50f065d1-c3e6-403c-a978-cb8e203c2f03","2017-09-17T13:03:56-04:00","2017-09-17T16:38:50-04:00","win",24,"loss",10,"win",24,"loss",10,TRUE,FALSE,3,0,3,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,1,2,2,0,33,4,0,0,0,0,0,3,5,4,0,0,16,217,0,201,34,25,1,2,16,2,7,1,45,24,0,7,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,43,5,0,0,4,3,7,136,0,0,0,0,32,1,0,11,4,2004,0,0,0,0,0,24,3,"34aba22d-b7cc-4cf9-9465-d93e87ef1654","ecf6a705-7a54-4f36-9dcd-09a0c53e733b","15cdbc22-7b1e-4012-a731-987ca52e3c05"
"10","7fcdcbb3-4200-4414-867b-7a86fe9e6912","2017-09-24T10:08:00-04:00","2017-09-24T13:00:42-04:00","win",44,"loss",7,"loss",7,"win",44,FALSE,TRUE,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4,64,0,52,27,14,2,2,12,1,10,2,88,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.286,7,0,0,1,1,6,134,0,0,0,0,25,0,0,11,3,1557,0,0,0,0,0,12,1,"e72de5b3-3475-42c1-97e2-8bcef43d4ffd","0fc8a1cb-bb61-4eba-b448-1d313813f0d1","15cdbc22-7b1e-4012-a731-987ca52e3c05"
