"","game_log_id","created_at","updated_at","game_played","game_started","home_team_outcome","home_team_score","away_team_outcome","away_team_score","team_outcome","team_score","opponent_outcome","opponent_score","is_home_team","is_away_team","average_yards_per_pass_attempt","average_yards_per_pass_completion","combined_tackles","defense_fumble_recoveries","defense_misc_assisted_tackles","defense_misc_solo_tackles","defense_miscellaneous_fumble_recoveries","defense_special_teams_assisted_tackles","defense_special_teams_fumble_recoveries","defense_special_teams_kicks_blocked","defense_special_teams_solo_tackles","defense_special_teams_tackles","defense_tackles","defense_tackles_for_loss","defense_tackles_for_loss_yards","extra_points_attempts","extra_points_made","field_goal_attempts","field_goal_attempts_19","field_goal_attempts_29","field_goal_attempts_39","field_goal_attempts_49","field_goal_attempts_50","field_goals_attempted_against","field_goals_blocked","field_goals_made","field_goals_made_19","field_goals_made_29","field_goals_made_39","field_goals_made_49","field_goals_made_50","field_goals_missed","field_goals_succeeded_against","field_goals_succeeded_longest_yards","field_goals_succeeded_yards","fumbles_committed","fumbles_forced","fumbles_lost","fumbles_opposing_recovered","fumbles_opposing_touchdowns","fumbles_own_recovered","fumbles_own_touchdowns","fumbles_recovered_touchdowns_longest_yards","interception_pct","interceptions_longest","interceptions_returned_for_touchdown","interceptions_returned_touchdowns_longest_yards","interceptions_total","interceptions_touchdown","interceptions_yards","kicking_singles","kickoff_longest_yards","kickoff_return_faircatches","kickoff_return_longest_yards","kickoff_return_touchdowns","kickoff_return_touchdowns_longest_yards","kickoff_return_yards","kickoff_returns","kickoff_returns_10_yards_plus","kickoff_returns_20_yards_plus","kickoff_returns_30_yards_plus","kickoff_returns_40_yards_plus","kickoff_returns_50_yards_plus","kickoff_singles","kickoff_yards","kickoffs","misc_assisted_tackles","misc_combined_tackles","misc_tackles","passer_rating","passes_10_yards_plus","passes_20_yards_plus","passes_30_yards_plus","passes_40_yards_plus","passes_50_yards_plus","passes_completions","passes_defensed","passes_first_downs","passes_interceptions","passes_longest","passes_percentage","passes_touchdowns","passes_yards_gross","passing_2pt_conversions_succeeded","passing_touchdowns_longest_yards","penalty_yards","points","punt_return_faircatches","punt_return_longest_yards","punt_return_touchdowns","punt_return_touchdowns_longest_yards","punt_return_yards","punt_returns","punt_returns_10_yards_plus","punt_returns_20_yards_plus","punt_returns_30_yards_plus","punt_returns_40_yards_plus","punt_returns_50_yards_plus","punting_net_yards","punting_singles","punts_blocked","punts_inside_twenty","punts_longest","punts_total","punts_yards_gross","quarterback_hits","receiving_2pt_conversions_succeeded","receiving_touchdowns_longest_yards","receptions_10_yards_plus","receptions_20_yards_plus","receptions_30_yards_plus","receptions_40_yards_plus","receptions_50_yards_plus","receptions_average_yards_per","receptions_first_downs","receptions_fumbles","receptions_longest","receptions_looks","receptions_total","receptions_touchdowns","receptions_yards","red_zone_rush_attempts","red_zone_targets","rushes_10_yards_plus","rushes_20_yards_plus","rushes_30_yards_plus","rushes_40_yards_plus","rushes_50_yards_plus","rushes_attempts","rushes_fumbles","rushes_longest","rushes_touchdowns","rushes_yards","rushing_2pt_conversions_succeeded","rushing_average_yards_per","rushing_gross_yards","rushing_lost_yards","rushing_touchdowns_longest_yards","sacks_against_total","sacks_against_yards","sacks_total","sacks_yards","safeties","tackles_assists","tackles_solo","total_touchdowns","touchbacks_total","touchdown_pct","game_id","player_id","team_id","opponent_id"
"1946","8c31b924-c064-4f58-9020-a03ed8e66ae0","2017-04-22T16:24:43-04:00","2017-10-01T20:00:14-04:00",TRUE,FALSE,"undecided",24,"undecided",16,"undecided",16,"undecided",24,FALSE,TRUE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"c60ebcfd-cb91-4315-b6d9-fd76d234ad9f","91282cf1-b520-40d1-8741-7c5ac6e5fdf1","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","d61f132b-29f6-4140-847b-efb50ea9ccba"
"1947","8d650216-8b2f-428d-b2f2-507a3e9a2a12","2017-04-22T16:24:42-04:00","2017-09-22T21:12:54-04:00",TRUE,FALSE,"loss",39,"win",41,"win",41,"loss",39,FALSE,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0304c218-d46a-405e-971a-a23718b09ceb","91ae69ae-4c64-4807-85a1-26072e4587c6","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3"
"1948","8de89f4b-047b-456e-9e9c-0354405f575e","2017-04-22T16:24:42-04:00","2017-09-18T12:20:19-04:00",TRUE,FALSE,"loss",20,"win",27,"loss",20,"win",27,TRUE,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"b3f173e2-3d16-442e-9848-960082cb9b25","ad246a82-5132-4beb-a7e1-885db2bb5fb1","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","1c4f553a-bde3-4229-8565-9c40401a9956"
"1949","8f45c586-58a0-462b-b53a-fc00ed6b90fa","2017-04-22T16:24:42-04:00","2017-09-22T21:12:54-04:00",TRUE,FALSE,"loss",39,"win",41,"win",41,"loss",39,FALSE,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,"0304c218-d46a-405e-971a-a23718b09ceb","8170ae90-fcb2-496e-843d-4bd9ec4207ba","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3"
"1950","925b24c0-2e34-46d9-b9cf-6fb20015539b","2017-04-22T16:24:42-04:00","2017-09-22T21:12:54-04:00",TRUE,FALSE,"loss",39,"win",41,"win",41,"loss",39,FALSE,TRUE,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0304c218-d46a-405e-971a-a23718b09ceb","cac97f4a-bff2-4b5a-b829-1c658eb8acfe","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3"
"1951","92f47dfc-1b6c-46d6-bb5e-6b31d3c05df5","2017-04-22T16:24:42-04:00","2017-09-22T21:12:54-04:00",TRUE,FALSE,"loss",39,"win",41,"win",41,"loss",39,FALSE,TRUE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,"0304c218-d46a-405e-971a-a23718b09ceb","91282cf1-b520-40d1-8741-7c5ac6e5fdf1","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3"
"1952","9331912f-ad8a-4953-919c-433d4e39d11d","2017-04-22T16:24:42-04:00","2017-09-22T21:12:54-04:00",TRUE,FALSE,"loss",39,"win",41,"win",41,"loss",39,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0304c218-d46a-405e-971a-a23718b09ceb","5c47fd6d-db7d-4b01-8536-3bcd58e8e24b","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3"
"1953","94b1ac14-14ed-4e89-a182-f4ef1c8732ae","2017-04-22T16:24:42-04:00","2017-09-22T21:12:54-04:00",TRUE,FALSE,"loss",39,"win",41,"win",41,"loss",39,FALSE,TRUE,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,3,0,0,0,"0304c218-d46a-405e-971a-a23718b09ceb","ad246a82-5132-4beb-a7e1-885db2bb5fb1","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3"
"1954","9598d3d8-506d-4f35-825c-6e27994ca2b9","2017-04-22T16:24:42-04:00","2017-09-18T12:20:19-04:00",TRUE,FALSE,"loss",20,"win",27,"loss",20,"win",27,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"b3f173e2-3d16-442e-9848-960082cb9b25","e61038b0-2275-4c16-98df-7fde9ab2895b","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","1c4f553a-bde3-4229-8565-9c40401a9956"
"1955","95f6d477-94ee-4cfa-b0fd-c7b45731afd1","2017-04-22T16:24:43-04:00","2017-10-01T20:00:14-04:00",TRUE,FALSE,"undecided",24,"undecided",16,"undecided",16,"undecided",24,FALSE,TRUE,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,"c60ebcfd-cb91-4315-b6d9-fd76d234ad9f","c0c3569b-332f-4b02-93dc-6020ac31adde","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2","d61f132b-29f6-4140-847b-efb50ea9ccba"
