"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Andrew Nicholson",3000,"Orl@Bkn 06:00PM ET",5.979,"Bkn"
"PF","Damjan Rudez",3000,"Orl@Bkn 06:00PM ET",3.982,"Orl"
"C","Justin Hamilton",3000,"Orl@Bkn 06:00PM ET",15.603,"Bkn"
"C","Stephen Zimmerman Jr.",3000,"Orl@Bkn 06:00PM ET",4.265,"Orl"
"PG","Ronnie Price",3000,"Pho@Por 10:00PM ET",4.813,"Pho"
"PG","Eric Bledsoe",3000,"Pho@Por 10:00PM ET",39.614,"Pho"
"PG","Shabazz Napier",3000,"Pho@Por 10:00PM ET",7.620,"Por"
"PG","Tim Quarterman",3000,"Pho@Por 10:00PM ET",3.385,"Por"
"SG","Jarell Eddie",3000,"Pho@Por 10:00PM ET",7.250,"Pho"
"SG","Brandon Knight",3000,"Pho@Por 10:00PM ET",18.171,"Pho"
"SF","Pat Connaughton",3000,"Pho@Por 10:00PM ET",4.064,"Por"
"SF","Derrick Jones Jr.",3000,"Pho@Por 10:00PM ET",8.125,"Pho"
"PF/C","Meyers Leonard",3000,"Pho@Por 10:00PM ET",11.914,"Por"
"PF","Ed Davis",3000,"Pho@Por 10:00PM ET",13.130,"Por"
"PF","Jake Layman",3000,"Pho@Por 10:00PM ET",3.675,"Por"
"PF","Dragan Bender",3000,"Pho@Por 10:00PM ET",8.053,"Pho"
"C","Tyson Chandler",3000,"Pho@Por 10:00PM ET",25.856,"Pho"
"C","Festus Ezeli",3000,"Pho@Por 10:00PM ET",0,"Por"
