"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Ariel Miranda",6900,"SEA@OAK 10:05PM ET",11.303,"SEA"
"SP","Kendall Graveman",6800,"SEA@OAK 10:05PM ET",11.239,"OAK"
"SP","Mike Montgomery",6700,"CHC@STL 08:15PM ET",7.604,"CHC"
"SP","Felix Hernandez",6700,"SEA@OAK 10:05PM ET",13.540,"SEA"
"RP","Chris Stratton",6700,"SF@ARI 09:40PM ET",10.133,"SF"
"SP","Wei-Yin Chen",6700,"MIA@COL 08:40PM ET",9.250,"MIA"
"SP","Chad Bettis",6700,"MIA@COL 08:40PM ET",7.388,"COL"
"SP","Parker Bridwell",6600,"LAA@CWS 08:10PM ET",12.489,"LAA"
"SP","Chase De Jong",6600,"SEA@OAK 10:05PM ET",3.336,"SEA"
"SP","Nick Pivetta",6600,"WAS@PHI 07:05PM ET",11.616,"PHI"
"SP","Kyle Freeland",6600,"MIA@COL 08:40PM ET",10.250,"COL"
"SP","Jeff Hoffman",6600,"MIA@COL 08:40PM ET",9.826,"COL"
"SP","Carlos Rodon",6500,"LAA@CWS 08:10PM ET",14.862,"CWS"
"SP","Andrew Cashner",6500,"HOU@TEX 08:05PM ET",11.902,"TEX"
"SP","Edwin Jackson",6500,"WAS@PHI 07:05PM ET",6.386,"WAS"
"SP","Tyler Skaggs",6400,"LAA@CWS 08:10PM ET",11.857,"LAA"
"SP","Garrett Richards",6400,"LAA@CWS 08:10PM ET",16.640,"LAA"
"SP","Matt Moore",6400,"SF@ARI 09:40PM ET",11.298,"SF"
"SP","Shelby Miller",6400,"SF@ARI 09:40PM ET",14.575,"ARI"
"SP","Rubby De La Rosa",6400,"SF@ARI 09:40PM ET",2.961,"ARI"
"SP","Antonio Senzatela",6400,"MIA@COL 08:40PM ET",8.672,"COL"
"SP","Andrew Albers",6300,"SEA@OAK 10:05PM ET",14.479,"SEA"
"SP","Sean Manaea",6300,"SEA@OAK 10:05PM ET",13.057,"OAK"
"SP","Clayton Richard",6300,"SD@LAD 10:10PM ET",12.408,"SD"
"SP","James Shields",6200,"LAA@CWS 08:10PM ET",11.095,"CWS"
"SP","Mike Bolsinger",6200,"TOR@BOS 07:10PM ET",6.018,"TOR"
"RP","Simon Castro",6200,"SEA@OAK 10:05PM ET",3.443,"OAK"
"RP","Michael Brady",6200,"SEA@OAK 10:05PM ET",2.661,"OAK"
"RP","Zach Neal",6200,"SEA@OAK 10:05PM ET",2.500,"OAK"
"SP","Jharel Cotton",6200,"SEA@OAK 10:05PM ET",10.410,"OAK"
"SP","Miguel Gonzalez",6200,"HOU@TEX 08:05PM ET",10.142,"TEX"
"SP","Tyler Beede",6200,"SF@ARI 09:40PM ET",0,"SF"
"SP","Jack Flaherty",6100,"CHC@STL 08:15PM ET",6.575,"STL"
"SP","Erasmo Ramirez",6100,"SEA@OAK 10:05PM ET",8.342,"SEA"
"SP","A.J. Griffin",6100,"HOU@TEX 08:05PM ET",9.991,"TEX"
"SP","A.J. Cole",6100,"WAS@PHI 07:05PM ET",10.444,"WAS"
"SP","Edinson Volquez",6100,"MIA@COL 08:40PM ET",13.491,"MIA"
"SP","Jesse Chavez",6000,"LAA@CWS 08:10PM ET",8.119,"LAA"
"SP","Carson Fulmer",6000,"LAA@CWS 08:10PM ET",8.375,"CWS"
"SP","Reynaldo Lopez",6000,"LAA@CWS 08:10PM ET",11.079,"CWS"
"SP","Brian Johnson",6000,"TOR@BOS 07:10PM ET",13.150,"BOS"
"SP","Clayton Blackburn",6000,"HOU@TEX 08:05PM ET",0,"TEX"
"SP","Jered Weaver",6000,"SD@LAD 10:10PM ET",3.450,"SD"
"SP","Dan Straily",6000,"MIA@COL 08:40PM ET",14.838,"MIA"
"SP","Tom Koehler",5900,"TOR@BOS 07:10PM ET",4.556,"TOR"
"SP","Jerad Eickhoff",5900,"WAS@PHI 07:05PM ET",12.025,"PHI"
"SP","Erick Fedde",5900,"WAS@PHI 07:05PM ET",5.367,"WAS"
"SP","Jhoulys Chacin",5900,"SD@LAD 10:10PM ET",13.414,"SD"
"SP","Tyson Ross",5800,"HOU@TEX 08:05PM ET",4.388,"TEX"
"SP","Luis Perdomo",5800,"SD@LAD 10:10PM ET",10.725,"SD"
"OF","Giancarlo Stanton",5800,"MIA@COL 08:40PM ET",10.651,"MIA"
"SP","Brett Anderson",5700,"TOR@BOS 07:10PM ET",5.164,"TOR"
"SP","Jake Thompson",5700,"WAS@PHI 07:05PM ET",7.364,"PHI"
"OF","Charlie Blackmon",5700,"MIA@COL 08:40PM ET",10.870,"COL"
"SP","Derek Holland",5600,"LAA@CWS 08:10PM ET",7.122,"CWS"
"RP","Henry Owens",5600,"TOR@BOS 07:10PM ET",0,"BOS"
"SP","Joe Biagini",5600,"TOR@BOS 07:10PM ET",5.228,"TOR"
"SP","Nick Martinez",5600,"HOU@TEX 08:05PM ET",7.611,"TEX"
"RP","Austin Adams",5600,"WAS@PHI 07:05PM ET",1.338,"WAS"
"1B","Paul Goldschmidt",5600,"SF@ARI 09:40PM ET",10.620,"ARI"
"OF","J.D. Martinez",5600,"SF@ARI 09:40PM ET",10.444,"ARI"
"SP","Vance Worley",5600,"MIA@COL 08:40PM ET",3.076,"MIA"
"3B","Nolan Arenado",5600,"MIA@COL 08:40PM ET",9.591,"COL"
"SP","Justin Nicolino",5600,"MIA@COL 08:40PM ET",3.065,"MIA"
"SP","Nate Smith",5500,"LAA@CWS 08:10PM ET",0,"LAA"
"SP","Mat Latos",5500,"TOR@BOS 07:10PM ET",4.983,"TOR"
"SP","Roenis Elias",5500,"TOR@BOS 07:10PM ET",2.150,"BOS"
"SP","Yovani Gallardo",5500,"SEA@OAK 10:05PM ET",7.714,"SEA"
"SP","Matt Grace",5500,"WAS@PHI 07:05PM ET",2.189,"WAS"
"SP","Austin Voth",5500,"WAS@PHI 07:05PM ET",0,"WAS"
"SP","Zach Eflin",5500,"WAS@PHI 07:05PM ET",6.650,"PHI"
"RP","Dan Slania",5500,"SF@ARI 09:40PM ET",2.250,"SF"
"SP","Zach Lee",5500,"SD@LAD 10:10PM ET",4.800,"SD"
"SP","Dillon Peters",5500,"MIA@COL 08:40PM ET",7.910,"MIA"
"SP","Ricky Nolasco",5400,"LAA@CWS 08:10PM ET",11.406,"LAA"
"SP","David Holmberg",5400,"LAA@CWS 08:10PM ET",2.110,"CWS"
"SP","Troy Scribner",5400,"LAA@CWS 08:10PM ET",5.785,"LAA"
"SP","Chris Rowley",5400,"TOR@BOS 07:10PM ET",3.590,"TOR"
"1B/OF","Rhys Hoskins",5400,"WAS@PHI 07:05PM ET",11.341,"PHI"
"SP","Ross Stripling",5400,"SD@LAD 10:10PM ET",4.222,"LAD"
"SP","Yusmeiro Petit",5300,"LAA@CWS 08:10PM ET",5.398,"LAA"
"SP","Andrew Heaney",5300,"LAA@CWS 08:10PM ET",8.525,"LAA"
"SP","Kyle Kendrick",5300,"TOR@BOS 07:10PM ET",-5.925,"BOS"
"OF","Mookie Betts",5300,"TOR@BOS 07:10PM ET",9.400,"BOS"
"SP","Chris Smith",5300,"SEA@OAK 10:05PM ET",3.762,"OAK"
"RP","Seth Frankoff",5300,"SEA@OAK 10:05PM ET",2.100,"SEA"
"SP","Marco Gonzales",5300,"SEA@OAK 10:05PM ET",5.400,"SEA"
"SP","Grant Holmes",5300,"SEA@OAK 10:05PM ET",0,"OAK"
"2B","Jose Altuve",5300,"HOU@TEX 08:05PM ET",10.340,"HOU"
"SP","Tyler Wagner",5300,"HOU@TEX 08:05PM ET",0,"TEX"
"SP","Matt Cain",5300,"SF@ARI 09:40PM ET",5.850,"SF"
"SP","Brock Stewart",5300,"SD@LAD 10:10PM ET",5.225,"LAD"
"OF","Mike Trout",5200,"LAA@CWS 08:10PM ET",11.136,"LAA"
"RP","Eduardo Paredes",5200,"LAA@CWS 08:10PM ET",2.528,"LAA"
"SP","Paul Blackburn",5200,"SEA@OAK 10:05PM ET",10.100,"OAK"
"SP","Rob Whalen",5200,"SEA@OAK 10:05PM ET",1.950,"SEA"
"SP","Andrew Moore",5200,"SEA@OAK 10:05PM ET",7.941,"SEA"
"SS","Trea Turner",5200,"WAS@PHI 07:05PM ET",10.609,"WAS"
