"","id","created_at","updated_at","color","colors","hashtag","hashtags","location","name","nickname","latitude","longitude","slug","division_id","league_id"
"1","09dc1f54-cf05-4486-8135-80bb0090fde1","2016-03-18T20:56:45-04:00","2016-07-12T19:34:14-04:00","A71930","c(""DBacks"", ""Diamondbacks"")","DBacks","c(""DBacks"", ""Diamondbacks"")","Arizona","Arizona","Diamondbacks",33.4463502,-112.0746942,"mlb-ari","ca26ef7a-9025-4848-93ce-237c79aa2079","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"2","e0aa8528-46d5-41a4-95fe-50f0a2e3a761","2016-03-18T20:56:45-04:00","2016-07-12T19:34:15-04:00","CE1141","Braves","Braves","Braves","Atlanta","Atlanta","Braves",33.7005971,-84.354916,"mlb-atl","cbf6f7d2-4f6f-4fe9-b838-cf35bf9385b2","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"3","4745e78b-83e2-4296-ae11-d1330e665667","2016-03-18T20:56:44-04:00","2016-07-12T19:34:14-04:00","DF4601","Orioles","Orioles","Orioles","Baltimore","Baltimore","Orioles",39.2828878,-76.6206139,"mlb-bal","d4f9e9e2-18fb-4e61-8bfd-32d0e8502e09","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"4","4c2ad3df-a7fd-458d-a412-6e31574a0b7b","2016-03-18T20:56:44-04:00","2016-07-12T19:34:14-04:00","BD3039","RedSox","RedSox","RedSox","Boston","Boston","Red Sox",42.3404226,-71.0948148,"mlb-bos","d4f9e9e2-18fb-4e61-8bfd-32d0e8502e09","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"5","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","2016-03-18T20:56:45-04:00","2016-07-12T19:34:14-04:00","CC3433","Cubs","Cubs","Cubs","Chicago","Chi. Cubs","Cubs",41.8781136,-87.6297982,"mlb-chc","920b37d3-9fd8-45c6-a1fb-047748240732","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"6","8572e355-63b6-440c-8cb0-8ef52144b993","2016-03-18T20:56:44-04:00","2016-07-12T19:34:14-04:00","000000","WhiteSox","WhiteSox","WhiteSox","Chicago","Chi. White Sox","White Sox",41.8280515,-87.6349872,"mlb-chw","ca580e37-ee8b-44d3-94ac-6eb2bf35d094","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"7","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","2016-03-18T20:56:45-04:00","2016-07-12T19:34:14-04:00","C6011F","Reds","Reds","Reds","Cincinnati","Cincinnati","Reds",39.1031182,-84.5120196,"mlb-cin","920b37d3-9fd8-45c6-a1fb-047748240732","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"8","c5fefa38-a256-43fe-8147-008c0f8c2f15","2016-03-18T20:56:44-04:00","2016-07-12T19:34:14-04:00","E31937","Indians","Indians","Indians","Cleveland","Cleveland","Indians",41.49932,-81.6943605,"mlb-cle","ca580e37-ee8b-44d3-94ac-6eb2bf35d094","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"9","0220ab72-3a17-4a65-8872-72454aeb828d","2016-03-18T20:56:44-04:00","2016-07-12T19:34:14-04:00","333366","Rockies","Rockies","Rockies","Colorado","Colorado","Rockies",39.7578942,-104.9935598,"mlb-col","ca26ef7a-9025-4848-93ce-237c79aa2079","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"10","9ab4bef1-ea26-456b-a018-bf2bde1f6599","2016-03-18T20:56:44-04:00","2016-07-12T19:34:14-04:00","0C2C56","Tigers","Tigers","Tigers","Detroit","Detroit","Tigers",42.3300676,-83.0449362,"mlb-det","ca580e37-ee8b-44d3-94ac-6eb2bf35d094","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"11","1dbbb4a3-d8ca-42cb-829f-29551d482645","2016-03-18T20:56:43-04:00","2016-07-12T19:34:14-04:00","002D62","Astros","Astros","Astros","Houston","Houston","Astros",29.7552521,-95.3527035,"mlb-hou","558ecbdd-2a71-4c60-a1bd-28dfcd3ab496","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
"12","8a72ea07-afce-4907-9e6a-13b3f4e9d378","2016-03-18T20:56:44-04:00","2016-07-12T19:34:14-04:00","004687","Royals","Royals","Royals","Kansas City","Kansas City","Royals",39.0997265,-94.5785667,"mlb-kc","ca580e37-ee8b-44d3-94ac-6eb2bf35d094","cb399a17-e581-4f1a-9535-ea3bcb09fa1f"
