"","id","created_at","updated_at","at_neutral_site","attendance","away_team_outcome","away_team_score","broadcast","clock","clock_secs","daytime","duration","ended_at","home_team_outcome","home_team_score","humidity","interval","interval_number","interval_type","label","name","on","period","period_label","score","score_differential","scoreline","slug","started_at","status","internet_coverage","satellite_coverage","television_coverage","temperature","temperature_unit","timestamp","title","weather_conditions","wind_direction","wind_speed","wind_speed_unit","home_team_id","away_team_id","winning_team_id","season_id","venue_id","official_ids"
"2912","75e32b99-e59f-4f2e-a71b-0f7bb3cad263","2016-03-18T21:04:07-04:00","2016-07-12T19:35:05-04:00",FALSE,25327,"win",6,"MASN","0:00",0,FALSE,NA,"2015-04-09T16:03:28-04:00","loss",3,NA,"Regular Season",NA,"regularseason","Mets vs Nationals","Mets vs Nationals April  9, 2015 at  1:05pm","on April  9, 2015",0,"Inning","6-3",3,"Mets 6 - Nationals 3","mlb-2015-nym-was-2015-04-9-1305","2015-04-09T13:05:00-04:00",NA,NA,NA,"MASN",47,"f",1428599100,"Mets vs Nationals","cloudy","Out to Right",8,"mph","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","e46014e6-f9e9-41c3-9deb-cd11ee879d75",NA,"c(""ddf9d452-4d60-44ab-9533-f54ad04b946f"", ""0b63d8f8-c8c5-4d23-a4a1-438c5f4f7398"", ""1c7e5381-254b-48c1-b5ac-d6b8a54ef8c1"", ""c5eb5fae-6f41-48f8-bb63-880076b11ada"")"
"2913","fddddfa7-0274-46ed-b198-1ff691fc9703","2016-03-18T21:04:06-04:00","2016-07-12T19:34:45-04:00",FALSE,25999,"loss",1,"MASN 2","0:00",0,FALSE,NA,"2015-04-08T22:23:50-04:00","win",2,NA,"Regular Season",NA,"regularseason","Mets vs Nationals","Mets vs Nationals April  8, 2015 at  7:05pm","on April  8, 2015",0,"Inning","1-2",1,"Mets 1 - Nationals 2","mlb-2015-nym-was-2015-04-8-1905","2015-04-08T19:05:00-04:00",NA,NA,NA,"MASN 2",46,"f",1428534300,"Mets vs Nationals","cloudy","Out to Center",6,"mph","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","e46014e6-f9e9-41c3-9deb-cd11ee879d75",NA,"c(""ddf9d452-4d60-44ab-9533-f54ad04b946f"", ""0b63d8f8-c8c5-4d23-a4a1-438c5f4f7398"", ""1c7e5381-254b-48c1-b5ac-d6b8a54ef8c1"", ""c5eb5fae-6f41-48f8-bb63-880076b11ada"")"
"2914","fb0d7a44-9de4-401a-b651-8dd0014fecb9","2016-03-18T21:04:05-04:00","2016-07-12T19:35:43-04:00",FALSE,42295,"win",3,"ESPN","0:00",0,FALSE,NA,"2015-04-06T18:45:38-04:00","loss",1,NA,"Regular Season",NA,"regularseason","Mets vs Nationals","Mets vs Nationals April  6, 2015 at  4:05pm","on April  6, 2015",0,"Inning","3-1",2,"Mets 3 - Nationals 1","mlb-2015-nym-was-2015-04-6-1605","2015-04-06T16:05:00-04:00",NA,NA,NA,"ESPN",76,"f",1428350700,"Mets vs Nationals","sunny","Out to Center",14,"mph","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","e46014e6-f9e9-41c3-9deb-cd11ee879d75",NA,"c(""ddf9d452-4d60-44ab-9533-f54ad04b946f"", ""0b63d8f8-c8c5-4d23-a4a1-438c5f4f7398"", ""4a03cb2b-d6c1-4c03-860d-17aa0b430a62"", ""1c7e5381-254b-48c1-b5ac-d6b8a54ef8c1"")"
"2915","e66091de-9ecf-4539-8f16-24a0a3d8c1bc","2016-03-18T21:06:27-04:00","2016-07-12T19:34:54-04:00",FALSE,33224,"loss",4,"MASN","0:00",0,FALSE,NA,"2015-10-04T18:49:02-04:00","win",9,NA,"Regular Season",NA,"regularseason","Yankees vs Orioles","Yankees vs Orioles October  4, 2015 at  3:05pm","on October  4, 2015",0,"Inning","4-9",5,"Yankees 4 - Orioles 9","mlb-2015-nyy-bal-2015-10-4-1505","2015-10-04T15:05:00-04:00",NA,NA,NA,"MASN",56,"f",1443985500,"Yankees vs Orioles","cloudy","In from Center",8,"mph","4745e78b-83e2-4296-ae11-d1330e665667","a7768b3c-3700-41a8-b97d-4670e044d036","4745e78b-83e2-4296-ae11-d1330e665667","e46014e6-f9e9-41c3-9deb-cd11ee879d75",NA,"c(""511d6c57-3987-4aca-bb11-7476f970dc03"", ""e5ac4e68-4b3c-483c-8e7a-93a4902d2623"", ""d1d3cc19-fb3f-479b-bc85-ed00405b6a9f"", ""00b21af9-3e2b-45ed-b01c-37102d1c2af3"")"
"2916","335251f2-5f37-4fd2-b10e-0d45b8bd4547","2016-03-18T21:06:26-04:00","2016-07-12T19:35:21-04:00",FALSE,35198,"loss",3,"MASN","0:00",0,FALSE,NA,"2015-10-03T21:42:48-04:00","win",4,NA,"Regular Season",NA,"regularseason","Yankees vs Orioles","Yankees vs Orioles October  3, 2015 at  7:05pm","on October  3, 2015",0,"Inning","3-4",1,"Yankees 3 - Orioles 4","mlb-2015-nyy-bal-2015-10-3-1905","2015-10-03T19:05:00-04:00",NA,NA,NA,"MASN",54,"f",1443913500,"Yankees vs Orioles","light-rain","Varying",12,"mph","4745e78b-83e2-4296-ae11-d1330e665667","a7768b3c-3700-41a8-b97d-4670e044d036","4745e78b-83e2-4296-ae11-d1330e665667","e46014e6-f9e9-41c3-9deb-cd11ee879d75",NA,"c(""e5ac4e68-4b3c-483c-8e7a-93a4902d2623"", ""d1d3cc19-fb3f-479b-bc85-ed00405b6a9f"", ""00b21af9-3e2b-45ed-b01c-37102d1c2af3"", ""54186c93-b4ea-46e6-97ae-08f63dc12351"")"
"2917","0d193d00-01f4-4310-9c72-9c4ac080a62e","2016-03-18T21:06:25-04:00","2016-07-25T10:12:31-04:00",FALSE,29227,"loss",2,"MASN","0:00",0,FALSE,NA,"2015-10-03T15:28:08-04:00","win",9,NA,"Regular Season",NA,"regularseason","Yankees vs Orioles","Yankees vs Orioles October  3, 2015 at 12:05pm","on October  3, 2015",0,"Inning","2-9",7,"Yankees 2 - Orioles 9","mlb-2015-nyy-bal-2015-10-3-1605","2015-10-03T12:05:00-04:00",NA,NA,NA,"MASN",53,"f",1443888300,"Yankees vs Orioles","cloudy","Left to Right",10,"mph","4745e78b-83e2-4296-ae11-d1330e665667","a7768b3c-3700-41a8-b97d-4670e044d036","4745e78b-83e2-4296-ae11-d1330e665667","e46014e6-f9e9-41c3-9deb-cd11ee879d75",NA,"c(""511d6c57-3987-4aca-bb11-7476f970dc03"", ""e5ac4e68-4b3c-483c-8e7a-93a4902d2623"", ""00b21af9-3e2b-45ed-b01c-37102d1c2af3"", ""54186c93-b4ea-46e6-97ae-08f63dc12351"")"
"2918","6b4ec63f-1cf0-4811-a09f-84bee57aae2f","2016-03-18T21:06:24-04:00","2016-07-12T19:34:58-04:00",FALSE,40033,"loss",1,"YES","0:00",0,FALSE,NA,"2015-10-01T22:22:28-04:00","win",4,NA,"Regular Season",NA,"regularseason","Red Sox vs Yankees","Red Sox vs Yankees October  1, 2015 at  7:05pm","on October  1, 2015",0,"Inning","1-4",3,"Red Sox 1 - Yankees 4","mlb-2015-bos-nyy-2015-10-1-1905","2015-10-01T19:05:00-04:00",NA,NA,NA,"YES",60,"f",1443740700,"Red Sox vs Yankees","light-rain","Left to Right",13,"mph","a7768b3c-3700-41a8-b97d-4670e044d036","4c2ad3df-a7fd-458d-a412-6e31574a0b7b","a7768b3c-3700-41a8-b97d-4670e044d036","e46014e6-f9e9-41c3-9deb-cd11ee879d75",NA,"c(""ddf9d452-4d60-44ab-9533-f54ad04b946f"", ""0b63d8f8-c8c5-4d23-a4a1-438c5f4f7398"", ""1c7e5381-254b-48c1-b5ac-d6b8a54ef8c1"", ""c5eb5fae-6f41-48f8-bb63-880076b11ada"")"
"2919","074e337d-f16a-45c2-bd21-a481155f64c6","2016-03-18T21:06:23-04:00","2016-07-25T10:12:20-04:00",FALSE,10228,"win",9,"SportsTime Ohio","0:00",0,FALSE,NA,"2015-09-30T23:21:11-04:00","loss",5,NA,"Regular Season",NA,"regularseason","Red Sox vs Yankees","Red Sox vs Yankees September 30, 2015 at  7:50pm","on September 30, 2015",0,"Inning","9-5",4,"Red Sox 9 - Yankees 5","mlb-2015-bos-nyy-2015-09-30-2350","2015-09-30T19:50:00-04:00",NA,NA,NA,"SportsTime Ohio",67,"f",1443657000,"Red Sox vs Yankees","cloudy","Left to Right",14,"mph","a7768b3c-3700-41a8-b97d-4670e044d036","4c2ad3df-a7fd-458d-a412-6e31574a0b7b","4c2ad3df-a7fd-458d-a412-6e31574a0b7b","e46014e6-f9e9-41c3-9deb-cd11ee879d75",NA,"c(""ddf9d452-4d60-44ab-9533-f54ad04b946f"", ""0b63d8f8-c8c5-4d23-a4a1-438c5f4f7398"", ""1c7e5381-254b-48c1-b5ac-d6b8a54ef8c1"", ""c5eb5fae-6f41-48f8-bb63-880076b11ada"")"
"2920","01224d76-cf94-4d47-8434-3dff5bf8474b","2016-03-18T21:06:21-04:00","2016-07-25T10:12:14-04:00",FALSE,38512,"win",10,"YES","0:00",0,FALSE,NA,"2015-09-29T22:06:11-04:00","loss",4,NA,"Regular Season",NA,"regularseason","Red Sox vs Yankees","Red Sox vs Yankees September 29, 2015 at  7:05pm","on September 29, 2015",0,"Inning","10-4",6,"Red Sox 10 - Yankees 4","mlb-2015-bos-nyy-2015-09-29-2305","2015-09-29T19:05:00-04:00",NA,NA,NA,"YES",75,"f",1443567900,"Red Sox vs Yankees","cloudy","Right to Left",12,"mph","a7768b3c-3700-41a8-b97d-4670e044d036","4c2ad3df-a7fd-458d-a412-6e31574a0b7b","4c2ad3df-a7fd-458d-a412-6e31574a0b7b","e46014e6-f9e9-41c3-9deb-cd11ee879d75",NA,"c(""ddf9d452-4d60-44ab-9533-f54ad04b946f"", ""0b63d8f8-c8c5-4d23-a4a1-438c5f4f7398"", ""1c7e5381-254b-48c1-b5ac-d6b8a54ef8c1"", ""c5eb5fae-6f41-48f8-bb63-880076b11ada"")"
"2921","cacd1356-6726-4b80-b94e-1a73c25f7d8d","2016-03-18T21:06:21-04:00","2016-07-12T19:35:09-04:00",FALSE,39476,"win",5,"YES","0:00",0,FALSE,NA,"2015-09-28T22:07:13-04:00","loss",1,NA,"Regular Season",NA,"regularseason","Red Sox vs Yankees","Red Sox vs Yankees September 28, 2015 at  7:05pm","on September 28, 2015",0,"Inning","5-1",4,"Red Sox 5 - Yankees 1","mlb-2015-bos-nyy-2015-09-28-1905","2015-09-28T19:05:00-04:00",NA,NA,NA,"YES",75,"f",1443481500,"Red Sox vs Yankees","cloudy","Right to Left",9,"mph","a7768b3c-3700-41a8-b97d-4670e044d036","4c2ad3df-a7fd-458d-a412-6e31574a0b7b","4c2ad3df-a7fd-458d-a412-6e31574a0b7b","e46014e6-f9e9-41c3-9deb-cd11ee879d75",NA,"c(""ddf9d452-4d60-44ab-9533-f54ad04b946f"", ""0b63d8f8-c8c5-4d23-a4a1-438c5f4f7398"", ""1c7e5381-254b-48c1-b5ac-d6b8a54ef8c1"", ""c5eb5fae-6f41-48f8-bb63-880076b11ada"")"
